date,id,text,username
2022-04-08T19:08:14+00:00,1512507631050674200,"Will Smith banned from Oscars gala and other Academy events for 10 years after slapping comic Chris Rock at the Oscars

https://t.co/1zvNALhFUI",BBCBreaking
2022-04-08T18:14:53+00:00,1512494201610592300,"UK Chancellor Rishi Sunak's wife Akshata Murty announces she will pay UK taxes on her overseas income, following a row over her non-dom status
https://t.co/P6KJAmaCl2",BBCBreaking
2022-04-08T11:17:00+00:00,1512389039026024400,"Russian President Vladimir Putin's daughters targeted by new UK sanctions

https://t.co/ZZe9eLKqBv",BBCBreaking
2022-04-08T09:34:26+00:00,1512363228315148300,Man jailed for life with minimum term of 36 years for murder of London primary school teacher Sabina Nessa https://t.co/B5EleI8iNf,BBCBreaking
2022-04-08T09:08:00+00:00,1512356574223814700,Dozens feared dead and more than 100 wounded after missile strike on railway station used to evacuate civilians in Ukraine https://t.co/6iNHGPR2kJ,BBCBreaking
2022-04-09T14:14:18+00:00,1512796046077972500,UK Prime Minister Boris Johnson is in Kyiv for talks with Ukraine's President Zelensky  https://t.co/bUlC7310Yp,BBCBreaking
2022-04-12T23:39:20+00:00,1514025407137337300,"New York police name Frank James, 62, as person of interest in subway shooting that injured more than 20 https://t.co/CzDAmW5S2u",BBCBreaking
2022-04-12T13:45:43+00:00,1513876017731014700,"Multiple people injured in subway shooting in Brooklyn, New York https://t.co/y3P9VSSFlu",BBCBreaking
2022-04-12T10:40:37+00:00,1513829434620629000,"UK police issue at least 30 more Downing Street lockdown fines

https://t.co/DtA4rCWh0e",BBCBreaking
2022-04-11T15:25:30+00:00,1513538740861513700,UK MP Imran Ahmad Khan guilty of sexually assaulting 15-year-old boy at party in 2008 https://t.co/FvJpH5HWKh,BBCBreaking
2022-04-11T11:59:48+00:00,1513486975814226000,"Man found guilty of murdering UK MP Sir David Amess, who was stabbed more than 20 times during constituency surgery https://t.co/D0pS3HjKFm",BBCBreaking
2022-04-16T09:43:05+00:00,1515264508134105000,"Russia bans UK Prime Minister Boris Johnson and other senior ministers from entering Russia over the UK's ""hostile"" stance on the war in Ukraine https://t.co/cwXPnnoxun",BBCBreaking
2022-04-20T16:56:35+00:00,1516823151186956300,"Report into fatal shooting by actor Alec Baldwin finds production company showed ""plain indifference"" to employee safety

https://t.co/bXLEypxFzV",BBCBreaking
2022-04-18T15:38:56+00:00,1516078836529737700,"Police say they have spoken to First Minister Nicola Sturgeon after she was filmed apparently breaching Scotland's face mask rules and no further action necessary
 
https://t.co/LiSP3lkjME",BBCBreaking
2022-04-18T10:16:41+00:00,1515997737858355200,"Seven people killed in missile strikes in western Ukrainian city of Lviv, officials say, in a marked escalation in attacks

https://t.co/KNuxi0pps9",BBCBreaking
2022-04-21T14:20:31+00:00,1517146267192750000,"Mother, stepdad and teenage boy guilty of murdering five-year-old Logan Mwangi https://t.co/NfuTg587pY",BBCBreaking
2022-04-21T13:28:45+00:00,1517133237352550400,James Watson found guilty of murdering six-year-old Rikki Neave 28 years ago https://t.co/bweWrNAc8v,BBCBreaking
2022-04-21T08:04:29+00:00,1517051633707925500,"Russian President Vladimir Putin abandons plan to storm last Mariupol hold-out

https://t.co/m2nMSnQlxA",BBCBreaking
2022-04-21T05:11:56+00:00,1517008210569351200,"A woman who has given more than £2m to the Conservative Party was listed as a director of a company secretly owned by a sanctioned Russian oligarch, documents seen by the BBC indicate https://t.co/G7UKMRFkwY",BBCBreaking
2022-04-21T15:38:50+00:00,1517165974696468500,UK MPs approve inquiry into whether Prime Minister Boris Johnson misled Parliament over parties held during Covid lockdown https://t.co/Xu4Rnxeovt,BBCBreaking
2022-03-12T08:51:50+00:00,1502568033415577600,"Intense fighting north west of Kyiv as reports suggest bulk of Russian forces just 25km from the Ukrainian capital

Follow live updates: https://t.co/JaY0cU4mIz",BBCBreaking
2022-03-10T08:24:20+00:00,1501836338659741700,"Three people, including one child, killed in maternity hospital bombing in Mariupol, says Ukraine official https://t.co/4KhM1fryEz",BBCBreaking
2022-03-13T10:50:20+00:00,1502960243139133400,"At least 35 people killed and 134 injured in Russian missile attack on military training base in western Ukraine, Lviv regional governor says

Follow live updates: https://t.co/axr4WfQ50L",BBCBreaking
2022-03-21T08:39:06+00:00,1505826322261713000,"A China Eastern Airlines Boeing 737 plane carrying 133 people on board crashed in Guangxi province, Chinese state media is reporting

https://t.co/YvY6H2voZe",BBCBreaking
2022-03-22T13:12:21+00:00,1506257475821092900,Russian billionaire and ex-Arsenal shareholder Alisher Usmanov says he ditched UK mansions before sanctions came into force https://t.co/PIrvogiCDC,BBCBreaking
2022-03-22T12:16:57+00:00,1506243533073797000,"London Metropolitan Police's approach to tackling corruption within its ranks is ""fundamentally flawed"", watchdog finds https://t.co/A9jjwZLqCc",BBCBreaking
2022-03-24T08:05:03+00:00,1506904915863642000,"North Korea tests banned intercontinental missile for first time since 2017, according to South Korea https://t.co/IkzVRF82UA",BBCBreaking
2022-03-23T18:46:58+00:00,1506704072908357600,"Madeleine Albright, first woman to become US secretary of state, dies aged 84 https://t.co/hfQvaXTqTw",BBCBreaking
2022-03-23T11:31:01+00:00,1506594361743655000,"Gas incident closes London Aquatics Centre

https://t.co/hT1OMscwgD",BBCBreaking
2022-03-23T07:08:41+00:00,1506528342777999400,"UK prices rose by 6.2% in the 12 months to February - the fastest for 30 years - as fuel, energy and food costs surged

https://t.co/iyv2NxnDw0",BBCBreaking
2022-03-23T02:50:05+00:00,1506463263801884700,"World number one Ashleigh Barty has announced her retirement from tennis to ""chase other dreams"" – aged just 25 https://t.co/gU1OYtKIDX",BBCBreaking
2022-03-17T01:26:52+00:00,1504267994595266600,British-Iranian nationals Nazanin Zaghari-Ratcliffe and Anoosheh Ashoori back in UK after years of Iranian detention https://t.co/QwPQShFmTu,BBCBreaking
2022-03-16T20:14:55+00:00,1504189491153678300,"US President Joe Biden calls Russia's Vladimir Putin a ""war criminal"", something the Kremlin says is ""unforgivable rhetoric"" https://t.co/L4aWI1nTsD",BBCBreaking
2022-03-16T10:22:04+00:00,1504040295951872000,"British-Iranian Nazanin Zaghari-Ratcliffe is on her way home to UK after nearly six years in detention in Iran, says MP

https://t.co/Zme425Y3MZ",BBCBreaking
2022-03-18T15:49:37+00:00,1504847498476769300,"Rachael Blackmore makes history and becomes first female jockey to win Cheltenham Gold Cup

https://t.co/oPxclI8e3e",BBCBreaking
2022-03-18T10:38:15+00:00,1504769142502666200,"Wayne Couzens, the police officer who killed Sarah Everard, charged with four counts of indecent exposure that predate her murder

https://t.co/YuEhpdvn3b",BBCBreaking
2022-03-02T18:36:58+00:00,1499091410368221200,"Chelsea FC owner Roman Abramovich says he is selling the club with ""net proceeds"" to go to charitable foundation to help victims of war in Ukraine

https://t.co/vDYkDh40xo",BBCBreaking
2022-03-01T16:51:51+00:00,1498702569367085000,"Russian missile strike hits TV tower in Ukrainian capital Kyiv, killing five people, emergency services say https://t.co/x1tq8waWzQ",BBCBreaking
2022-02-28T17:46:19+00:00,1498353887698649000,"Fifa and Uefa ban all Russian football clubs and national teams from all competitions

https://t.co/3Jy7FzI4DP",BBCBreaking
2022-02-27T17:13:23+00:00,1497983212051648500,"BP to offload 19.75% stake in Russian state-owned oil firm Rosneft after Russia's ""act of aggression in Ukraine"" https://t.co/eHxdNi86db",BBCBreaking
2022-02-27T16:56:03+00:00,1497978850952847400,"EU to provide weapons to Ukraine, close its airspace to Russian flights and ban two Russian state media outlets

Follow live updates https://t.co/R7OaAgKfy8",BBCBreaking
2022-02-27T06:49:32+00:00,1497826214505029600,"Ukraine forces battle Russian troops on streets of second-largest city, Kharkiv, officials say. Follow live updates https://t.co/UuSJ2owj8G",BBCBreaking
2022-02-26T22:23:26+00:00,1497698850840191000,"EU, US and allies agree to cut off a number of Russian banks from main international payment system Swift https://t.co/j5KVLlmNzM",BBCBreaking
2022-02-26T19:07:04+00:00,1497649431277097000,"Chelsea's Russian owner Roman Abramovich to hand over ""stewardship and care"" of club to its charitable foundation https://t.co/OUIQJCevwj",BBCBreaking
2022-02-26T10:17:18+00:00,1497516113881673700,Poland refuses to play next month's 2022 World Cup qualifier against Russia over Ukraine invasion https://t.co/Syhilf1NvQ,BBCBreaking
2022-02-26T08:32:39+00:00,1497489778404700200,British Airways cancels all short-haul flights from Heathrow Airport until midday amid ongoing technical issues  https://t.co/w0WCYn2NMU,BBCBreaking
2022-02-25T18:10:37+00:00,1497272840852320300,"UK to introduce sanctions against Russian President Vladimir Putin and Foreign Minister Sergey Lavrov following invasion of Ukraine 

https://t.co/pSN79C5iSc",BBCBreaking
